check,passed,expected,actual,impact_if_failed,status
地块数量,True,54,54,地块集合错误会改变模型维度。,PASS
地块ID唯一且非空,True,54个唯一、非空地块ID,非空=54，唯一=54,地块索引会错误合并。,PASS
地块面积与类型合法,True,面积>0，且仅六种题面地块类型,非正面积=0，非法类型=[],容量或适宜性约束不可用。,PASS
作物数量,True,41,41,作物集合错误会改变适宜性和决策变量。,PASS
作物编号集合完整,True,编号1—41各一次,唯一数=41，缺失=[],作物集合或固定豆类集合可能错误。,PASS
各地块类型面积,True,"{'平旱地': 365.0, '梯田': 619.0, '山坡地': 108.0, '水浇地': 109.0, '普通大棚': 9.6, '智慧大棚': 2.4}","{'山坡地': 108.0, '平旱地': 365.0, '普通大棚': 9.6, '智慧大棚': 2.4, '梯田': 619.0, '水浇地': 109.0}",面积容量约束可能错误。,PASS
作物类别与编号一致性,True,每个作物编号对应唯一名称和类别,冲突=0,作物分类和豆类集合可能错误。,PASS
2023种植记录数,True,87,87,历史状态和需求基准可能不完整。,PASS
原始参数记录数,True,107,107,附件参数表读取可能错误。,PASS
参数编号键冲突,True,"0 个重复(crop, land_type, season)键",0,亩产、成本或价格可能存在歧义。,PASS
所有2023记录匹配参数,True,0 条未匹配,0,不能计算需求，必须停止。,PASS
2023历史0-1种植状态,True,所有allowed键有0/1状态，87个历史正种植键,状态键=1062，正状态=87,无法可靠建立2023→2024重茬边界。,PASS
2023地块豆类历史状态,True,54个地块均有0/1豆类状态,记录=54，种过豆类=19,第一个三年豆类窗口无法构建。,PASS
2023—2024历史邻接基础,True,54块地均有最后实际季次及2024首季衔接,记录=54，无最后季次=0,重茬约束无法按真实时间链构建。,PASS
2023历史种植适宜性,True,0 条 allowed=0 历史记录,0,题面适宜性规则或历史编码存在冲突。,PASS
2023面积未超地块容量,True,0 个地块—季次超容量,0,历史口径或数据存在冲突。,PASS
价格区间解析,True,107 条均为有效 low<=high 区间,有效=1,价格参数不能进入目标函数。,PASS
需求计算,True,41种作物均有正需求基准,组合数=47，覆盖作物=41，非正数=0,销售上限无法构建。,PASS
beta=0.5历史证据,True,历史正种植面积比例最小值=0.5，且无值低于0.5,最小值=0.5,beta 管理参数缺乏已确认的数据证据。,PASS
2023分散地块数已构建,True,输出作物—季次的历史分散地块数,组合数=47,Nmax 的审计基线缺失。,PASS
Nmax=3与历史分散度比较,True,识别历史分散度超过3块的组合，并保留Nmax=3,"超过Nmax的组合=3；[{'crop_id': 41, 'season': '第二季', 'plot_count_2023': 7}, {'crop_id': 6, 'season': '单季', 'plot_count_2023': 4}, {'crop_id': 17, 'season': '第一季', 'plot_count_2023': 4}]",异常但不改变模型方向：Nmax=3比部分2023实际经营更严格，后续必须重点做Nmax敏感性分析。,WARNING
所有allowed组合的参数值合法,True,每个allowed组合：yield>0、cost>=0、price>0,allowed组合=125，非法参数=0,合法决策变量没有完整有效的经济参数。,PASS

